證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"3536","誠創","24727","189657","7.85","7.85","7.65","7.66","0.0100","15"
"3543","州巧","134578","3637744","27.25","27.40","26.80","27.00","-0.4000","93"
"3545","敦泰","23984294","5417314134","230.50","232.50","220.00","222.50","-6.0000","18366"
"3550","聯穎","471398","8934795","19.10","19.15","18.65","19.00","-0.0500","251"
"3557","嘉威","286415","25285118","88.20","88.80","87.50","88.10","0.3000","245"
"3563","牧德","265665","69990080","262.50","266.50","260.00","260.00","-2.0000","266"
"3576","聯合再生","15187165","202322895","13.55","13.60","13.20","13.20","-0.2500","4291"
"3583","辛耘","155053","9684311","63.00","63.00","62.20","62.50","0.1000","114"
"3588","通嘉","1879527","162114019","86.90","88.30","84.70","84.80","-1.0000","1422"
"3591","艾笛森","289402","5646498","19.30","19.80","19.25","19.35","0.1000","165"
"3593","力銘","41601","574632","14.00","14.10","13.60","13.90","0.1000","38"
"3596","智易","1347117","134680687","99.70","100.50","99.30","99.90","0.9000","956"
"3605","宏致","821580","37086892","45.00","45.55","44.75","45.00","0.0500","564"
"3607","谷崧","3207321","51601345","16.30","16.70","15.60","15.60","-0.4000","1655"
"3617","碩天","53230","4525290","84.80","85.20","84.60","85.00","-0.2000","40"
"3622","洋華","655274","21465061","33.00","33.40","32.20","32.30","-0.5000","380"
"3645","達邁","310787","15603242","50.70","50.70","49.90","50.10","-0.4000","233"
"3653","健策","2915601","884874553","303.00","310.00","296.00","296.00","0.0000","2410"
"3661","世芯-KY","7934728","4602997986","565.00","588.00","565.00","588.00","26.0000","7353"
"3665","貿聯-KY","1064923","261944647","242.00","248.00","241.50","245.50","3.0000","961"
"3669","圓展","539915","44130868","82.70","82.70","81.50","81.50","-0.6000","438"
"3673","TPK-KY","2196048","102030589","46.75","46.90","46.10","46.25","-0.0500","1337"
"3679","新至陞","1001484","134478820","134.50","136.50","132.00","132.50","0.0000","601"
"3682","亞太電","4410510","39740575","9.04","9.11","8.98","8.98","-0.0800","1513"
"3686","達能","4188903","72941999","18.00","18.00","16.80","17.10","-1.0500","1850"
"3694","海華","1352524","33298706","24.45","25.00","24.35","24.35","-0.1000","430"
"3701","大眾控","11316","160997","14.50","14.50","14.10","14.40","0.3000","31"
"3702","大聯大","9914556","499283358","51.10","51.40","50.00","50.00","-1.1000","3829"
"3702A","大聯大甲特","39905","1994772","50.00","50.00","50.00","50.00","-0.1000","23"
"3703","欣陸","3634953","95391859","26.40","26.75","25.85","26.75","0.3000","1692"
"3704","合勤控","2393813","72978407","30.40","30.90","30.20","30.20","-0.2000","1187"
"3705","永信","92671","4071418","44.00","44.00","43.85","43.95","0.0500","73"
"3706","神達","2509264","69992047","27.85","28.05","27.75","28.00","0.1000","1091"
"3708","上緯投控","565222","66761400","118.50","119.00","117.00","118.50","-1.0000","476"
"3711","日月光投控","10889750","1274742752","118.00","119.00","116.50","116.50","-1.5000","4197"
"3712","永崴投控","237894","6907140","29.20","29.40","28.90","28.90","-0.3000","172"
"3714","富采","12999878","1043062507","81.70","82.40","78.20","78.20","-1.8000","7515"
"4104","佳醫","129379","7454604","57.60","57.80","57.50","57.80","0.2000","125"
"4106","雃博","3567450","150081504","43.00","43.30","41.45","41.45","-1.0500","2225"
"4108","懷特","570810","14048722","24.70","24.95","24.50","24.55","-0.2000","367"
"4119","旭富","308377","27728851","90.90","90.90","89.30","90.10","-0.8000","307"
"4133","亞諾法","10584150","763654946","70.60","73.80","70.40","72.80","3.8000","7591"
"4137","麗豐-KY","335643","68968290","208.50","208.50","203.00","204.00","-4.5000","307"
"4141","龍燈-KY","255590","3045164","12.00","12.05","11.85","11.95","-0.0500","172"
"4142","國光生","4395047","234921509","53.80","54.40","53.10","53.30","-0.2000","2778"
"4148","全宇生技-KY","30000","1032000","34.40","34.45","34.35","34.35","-0.0500","20"
"4155","訊映","129406","3311997","25.70","25.70","25.45","25.65","0.0000","102"
"4164","承業醫","178477","6640463","37.30","37.30","37.10","37.25","0.1000","81"
"4190","佐登-KY","76346","5750866","75.50","76.00","74.90","75.40","-0.1000","64"
"4306","炎洲","3435074","64580251","18.90","18.95","18.70","18.70","-0.1500","1130"
"4414","如興","1863217","17227133","9.30","9.34","9.20","9.20","-0.1600","723"
"4426","利勤","206748","4971196","24.10","24.15","24.00","24.00","0.0000","150"
"4438","廣越","159000","20428000","128.50","130.00","127.00","128.00","-0.5000","132"
"4439","冠星-KY","17250","2653250","153.00","154.50","153.00","154.00","2.0000","17"
"4526","東台","4968524","89175475","19.00","19.00","17.40","17.40","0.0500","2455"
"4532","瑞智","466727","9405664","20.25","20.25","20.10","20.15","-0.2000","242"
"4536","拓凱","245017","39126699","156.50","162.00","156.50","161.00","4.5000","192"
"4540","全球傳動","368010","19664867","52.50","54.30","52.50","53.10","1.0000","291"
"4545","銘鈺","79000","2182350","27.80","27.90","27.40","27.65","0.0500","58"
"4551","智伸科","976011","176603900","176.00","183.50","175.00","181.50","5.5000","861"
"4552","力達-KY","87812","2664548","30.35","30.50","30.25","30.30","0.0000","72"
"4555","氣立","73000","3984800","55.00","55.10","54.00","54.60","0.1000","59"
"4557","永新-KY","15109","972827","64.50","64.50","64.30","64.30","-0.1000","24"
"4560","強信-KY","142000","6070550","42.75","43.15","42.50","43.00","0.3000","65"
"4562","穎漢","62000","1228950","19.95","19.95","19.65","19.95","0.0000","35"
"4564","元翎","1622739","75236004","45.65","46.15","45.10","45.10","-0.6000","776"
"4566","時碩工業","144392","6565446","45.60","45.80","45.30","45.40","-0.3000","115"
"4571","鈞興-KY","79358","10245959","129.00","131.00","128.00","128.50","-3.0000","78"
"4572","駐龍","269157","28705175","110.00","110.00","105.50","106.50","-2.5000","220"
"4576","大銀微系統","248658","29591065","118.50","120.50","117.50","117.50","-1.0000","212"
"4581","光隆精密-KY","7000","256200","36.55","36.70","36.55","36.70","-0.1000","5"
"4720","德淵","1020207","15790734","15.25","15.70","15.15","15.50","0.4000","442"
"4722","國精化","1488476","49990963","33.65","34.15","33.20","33.45","-0.4000","375"
"4737","華廣","96410","6770132","70.60","71.00","69.90","71.00","0.5000","68"
"4739","康普","679604","53600801","79.00","80.50","77.70","78.00","-1.2000","533"
"4746","台耀","7494335","623560927","84.00","85.40","81.80","83.20","-0.9000","5034"
"4755","三福化","29000","1852300","63.90","64.30","63.60","63.60","-0.3000","28"
"4763","材料-KY","139406","14916700","107.50","108.00","106.50","107.00","-0.5000","165"
"4764","雙鍵","27000","1649800","61.60","61.60","60.70","61.50","-1.5000","23"
"4766","南寶","87026","13342490","151.50","156.00","151.50","156.00","3.0000","65"
"4807","日成-KY","279910","7272985","24.30","26.40","24.30","26.40","2.4000","142"
"4904","遠傳","4771039","309133711","65.30","65.30","64.70","64.70","-0.7000","1375"
"4906","正文","2827755","87044370","30.90","31.00","30.65","30.65","-0.1500","974"
"4912","聯德控股-KY","157343","26726701","172.00","172.00","169.00","169.50","-1.0000","147"
"4915","致伸","2305120","123738209","53.50","54.10","53.10","54.10","0.9000","1400"
"4916","事欣科","124726","2895167","23.15","23.40","23.00","23.40","0.3000","104"
"4919","新唐","12133523","974532046","81.50","81.90","79.60","79.60","-1.9000","7893"
"4927","泰鼎-KY","1325023","79155038","58.90","60.90","58.20","59.90","1.4000","922"
"4930","燦星網","308715","7897228","25.80","25.80","25.45","25.75","0.0000","208"
"4934","太極","1142869","27549136","24.45","24.50","23.85","23.95","-0.5500","633"
"4935","茂林-KY","1992415","206835982","104.50","105.00","103.00","104.00","1.0000","1474"
"4938","和碩","14129246","1052987226","74.10","74.90","74.00","74.70","0.7000","6635"
"4942","嘉彰","723327","32354203","44.15","45.10","44.15","44.85","0.7000","430"
"4943","康控-KY","1687237","129038574","78.00","78.10","75.80","75.80","-1.7000","1332"
"4952","凌通","563433","31824673","57.20","57.20","56.10","56.20","-0.6000","422"
"4956","光鋐","1027757","23760367","23.45","23.55","22.80","22.85","-0.5000","464"
"4958","臻鼎-KY","6463210","665914397","101.00","104.00","101.00","102.50","1.5000","3973"
"4960","誠美材","8833347","103296501","11.80","12.00","11.50","11.55","-0.2500","2274"
"4961","天鈺","6022336","1933474632","323.00","328.00","315.50","315.50","-3.5000","5263"
"4967","十銓","3490500","219243250","63.50","63.80","62.10","62.30","-1.0000","1994"
"4968","立積","1314045","681997798","525.00","531.00","511.00","511.00","-11.0000","1366"
"4976","佳凌","16065903","1470642666","90.30","93.80","89.70","91.60","2.8000","10661"
"4977","眾達-KY","133654","12514423","94.80","95.00","92.50","92.50","-1.5000","127"
"4989","榮科","9713095","459360079","47.30","49.50","45.10","45.30","-1.5000","5493"
"4994","傳奇","72308","4523458","62.40","62.80","62.40","62.50","-0.5000","65"
"4999","鑫禾","183348","9221044","50.50","50.50","50.20","50.40","-0.1000","164"
"5007","三星","57261","3289790","56.80","57.80","56.80","57.80","-0.2000","73"
"5203","訊連","171835","14101512","82.80","82.80","81.60","82.80","0.0000","188"
"5215","科嘉-KY","374378","45504248","120.00","123.00","120.00","122.50","2.5000","314"
"5225","東科-KY","10002","206241","20.70","20.75","20.40","20.70","-0.0500","10"
"5234","達興材料","116015","10219836","88.20","88.50","87.90","87.90","-1.0000","87"
"5243","乙盛-KY","19131530","1263233000","62.40","68.40","61.80","68.40","6.2000","11912"
"5258","虹堡","241424","5305460","22.00","22.10","21.80","21.90","0.0000","117"
"5269","祥碩","689258","1042817470","1530.00","1570.00","1475.00","1475.00","-30.0000","981"
"5283","禾聯碩","46396","5726107","123.50","124.00","123.00","123.50","0.5000","72"
"5284","jpp-KY","33000","1444550","43.90","43.90","43.45","43.45","-0.4000","16"
"5285","界霖","4748845","391405915","80.50","84.20","79.30","82.00","2.2000","3260"
"5288","豐祥-KY","72001","11084653","153.50","155.50","153.00","154.00","0.5000","50"
"5388","中磊","815739","54305552","66.00","66.90","66.00","66.50","0.6000","610"
"5434","崇越","698321","84955170","123.00","123.00","121.00","121.00","-2.0000","556"
"5469","瀚宇博","5614244","260325527","46.30","46.70","46.00","46.60","0.5500","2660"
"5471","松翰","3158500","303764585","97.50","97.50","95.10","96.40","-0.1000","2373"
"5484","慧友","170741","2745405","16.15","16.20","16.00","16.05","0.0000","81"
"5515","建國","419326","5681159","13.55","13.65","13.45","13.60","0.1000","178"
"5519","隆大","813233","17587562","21.80","21.80","21.55","21.60","-0.1500","456"
"5521","工信","1439518","14060152","9.87","9.87","9.72","9.77","-0.0400","494"
"5522","遠雄","1810322","97076764","54.00","54.30","53.10","53.30","-0.7000","794"
"5525","順天","270661","6917988","25.25","25.90","25.25","25.50","0.2500","191"
"5531","鄉林","965654","11608242","12.00","12.10","11.95","12.05","-0.0500","328"
"5533","皇鼎","39432","611435","15.55","15.55","15.50","15.50","-0.1500","32"
"5534","長虹","374564","29603390","79.10","79.30","78.60","79.30","0.2000","188"
"5538","東明-KY","23001","991392","43.70","43.70","42.45","42.70","0.1500","19"
"5546","永固-KY","165070","12501884","75.50","76.50","75.00","76.50","0.2000","109"
"5607","遠雄港","24192237","910222480","34.90","38.35","34.85","38.35","3.4500","9973"
"5608","四維航","29649939","1658199652","52.50","58.00","52.00","58.00","5.2000","16609"
"5706","鳳凰","271312","11301294","42.40","42.40","41.40","41.55","-0.4500","253"
"5871","中租-KY","6057023","1215960583","199.50","202.00","199.50","200.50","0.0000","1598"
"5871A","中租-KY甲特","43310","4311120","99.60","99.60","99.50","99.50","-0.1000","36"
